"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Flush : a biography","","011981862","Monograph","Language material ; Text","Volume","GB9155750","","9780701209469","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","Hogarth","1991","","xvii, 169 pages, illustrations, portraits, 23 cm","828.91208","YK.1991.b.7314","English prose--Special subjects--Animals","","English","",""
"Flush : a biography","","013487252","Monograph","Language material ; Text","Volume","GBA660314","","9781903155455","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person] ; Beauman, Sally [person]","Persephone book","number 55 [Persephone book]","England","London","Persephone","2005","","xxv, 118 pages, 20 cm","823.912","YK.2006.a.13170","Flush (Dog) ; Women dog owners--England--Biography ; Spaniels--England--Biography ; Browning, Elizabeth Barrett, 1806-1861 ; Human-animal relationships--England--History--19th century","","English","Origianally published: London : Hogarth Press, 1933",""
"Flush : a biography","","013988209","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","Hogarth Press","1968","","","","X28/1983","","","English","",""
"Flush : a biography","","018891751","Monograph","Language material ; Text","Volume","GBB8A2312","","9781784875138","Woolf, Virginia","1882-1941","person","author","Forster, Margaret, 1938-2016 [person] ; Bell, Vanessa, 1879-1961, illustrator [person] ; Woolf, Virginia, 1882-1941, author [person]","Vintage lives","","England","London","Vintage","2018","","126 pages, illustrations, 18 cm","823.912","H.2019/.6240","Flush, (Dog)--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction ; Human-animal relationships--Fiction","Fiction","English","",""
"Flush : biographie","Flush. French","003974227","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Gillet, Louis, author [person] ; Mauron, Charles, translator [person] ; Woolf, Virginia, 1882-1941, author [person]","Le cabinet cosmopolite","number 75 [Le cabinet cosmopolite]","France","Paris","Stock, Delamain & Boutelleau","1935","","204 pages, 19 cm","","X.319/7029","","","French","",""
"Flush : biographie","Flush. French","009886692","Monograph","Language material ; Text","Volume","","","9782253038429","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Le livre de poche biblio","3069 [Le livre de poche biblio]","France","Paris","Stock","1979","","125 pages, 17 cm","","YA.2000.a.1113 ; YA.2003.a.2981","Human-animal relationships--England--Fiction ; Flush (Dog)--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Dogs--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","French","",""
"Flush : die Geschichte eines berühmten Hundes","Flush. German","004079189","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Herlitschka, Marlys, 1905-1975, translator [person] ; Woolf, Virginia, 1882-1941, author [person] ; Herlitschka, Herberth E., 1893-1970, translator [person]","Fischer Bücherei","volume 166 [Fischer Bücherei]","Germany","Frankfurt am Main ; Hamburg","Fischer Bücherei","1957","","153 pages, plates, 18 cm","","X.958/5021","","","German","Translation by Herberth und Marlys Herlitschka",""
"Flush : die Geschichte eines berühmten Hundes","Flush. German","012821868","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","Germany","Berlin","S. Fischer","1934","","","","F4/5134","","","German","",""
"Flush : uma biografia","Flush. Portuguese","009886767","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Fixões","17 [Fixões]","Portugal","Porto","Edições Afrontamento","1987","","121 pages, 21 cm","","YA.2000.a.821","Human-animal relationships--England--Fiction ; Flush (Dog)--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Dogs--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","Portuguese","",""
"Flush : una biografia","Flush. Catalan","009884833","Monograph","Language material ; Text","Volume","","","9788423316472","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","L'àncora","13 [L'àncora]","Spain","Barcelona","Destino","1988","","153 pages, 20 cm","","YA.1999.a.12849","Flush (Dog)--Fiction ; Human-animal relationships--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","Catalan","",""
"Flush : vita di un cane [Traduzione dall'inglese di Alessandra Scalero]","Flush. Italian","004093265","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person] ; Scalero, Alessandra, translator [person]","Medusa","volume 41 [Medusa]","Italy","Milano","Mondadori","1934","","219 pages, plates, portraits, 20 cm","","X.958/19491","Fiction in English--1900-1945","","Italian","",""
"Flush","","009050187","Monograph","Language material ; Text","Volume","GBA2X1697","","9780099438014","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","Vintage","2002","","176 pages, 20 cm","828.91208","","Biography as a literary form ; Flush (Dog)--Biography","Biography","English","Originally published: London: Hogarth, 1933",""
"Flush","","011338569","Monograph","Language material ; Text","Volume","GB97W7250","","9780631177296","Woolf, Virginia","1882-1941","person","author","Steele, Elizabeth, editor [person] ; Woolf, Virginia, 1882-1941, author [person]","The Shakespeare Head Press edition of Virginia Woolf","","England","Oxford","Blackwell ; Shakespeare Head","1999","","xxxi, 123 pages, illustrations, portraits, 23 cm","636.75240929","YC.1999.b.292","Flush (Dog) ; Women dog owners--England--Biography ; Spaniels--England--Biography ; Browning, Elizabeth Barrett, 1806-1861 ; Human-animal relationships--England--History--19th century","","English","",""
"Flush","","011942906","Monograph","Language material ; Text","Volume","GB9971581","","9780192833280","Woolf, Virginia","1882-1941","person","author","Flint, Kate, editor [person] ; Woolf, Virginia, 1882-1941, author [person]","Oxford world's classics","","England","Oxford","Oxford University Press","1998","","lii, 132 pages, 20 cm","823.912","YK.1999.a.9686","Human-animal relationships--England--Fiction ; Flush (Dog)--Fiction ; Dogs--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","English","",""
"Flush","","012821867","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","W. Hogarth Press","1947","","","","X26/7454","","","English","",""
"Flush","","014844676","Monograph","Language material ; Text","Volume","GBA8D6272","","9780199539291","Woolf, Virginia","1882-1941","person","author","Flint, Kate, editor [person] ; Woolf, Virginia, 1882-1941, author [person]","Oxford world's classics","","England","Oxford","Oxford University Press","2009","","lvi, 132 pages, 20 cm","828.91208","YC.2010.a.7138","Biography as a literary form ; Flush (Dog)--Biography","Biography","English","Originally published: 1998",""
"Flush","","017097885","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB532324","","9781473511934","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Vintage Lives","6 [Vintage Lives]","England","London","Vintage Digital","2015","","1 online resource","828.91208","ELD.DS.188365","Browning, Elizabeth Barrett, 1806-1861 ; Flush (Dog)--Biography ; Biography as a literary form","Biography","English","",""
"Flush","","017692493","Monograph","Language material ; Text","Volume","GBB600921","","9780241251478","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Penguin little black classics","number 120 [Penguin little black classics]","England","London","Penguin","2016","","114 pages, 1 illustration (black and white), 16 cm","823.912","YKL.2017.a.8516","Flush, (Dog)--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction ; Human-animal relationships--Fiction","Fiction","English","Originally published: London : Hogarth Press, 1933",""
"Flush","","018522176","Monograph","Language material ; Text","Online resource","GBB7H8295","","9780241251492","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Penguin little black classics","number 120 [Penguin little black classics]","England ; United Kingdom","London","Penguin","2016","","1 online resource (128 pages)","823.912","ELD.DS.189365","Flush, (Dog)--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction ; Human-animal relationships--Fiction","Fiction","English","",""
"Flush","","019428998","Monograph","Language material ; Text","Volume","GBB9A2540","","9781847498106","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","Richmond","Alma Classics","2019","","1 volume, 20 cm","823.912","","Flush, (Dog)--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction ; Human-animal relationships--Fiction","Fiction","English","",""
"Flush","Flush. Hungarian","008192712","Monograph","Language material ; Text","Volume","","","9789632082844","Woolf, Virginia","1882-1941","person","author","Rónay, György, translator [person] ; Woolf, Virginia, 1882-1941, author [person]","Útitárs","","Hungary","Budapest","Helikon","1993","","157 pages","","YA.1996.a.11839","Fiction in English--1900-1945--Translations","","Hungarian","",""
"Flush. Catalan","Flush : una biografia","009884833","Monograph","Language material ; Text","Volume","","","9788423316472","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","L'àncora","13 [L'àncora]","Spain","Barcelona","Destino","1988","","153 pages, 20 cm","","YA.1999.a.12849","Flush (Dog)--Fiction ; Human-animal relationships--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","Catalan","",""
"Flush. French","Flush : biographie","003974227","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Gillet, Louis, author [person] ; Mauron, Charles, translator [person] ; Woolf, Virginia, 1882-1941, author [person]","Le cabinet cosmopolite","number 75 [Le cabinet cosmopolite]","France","Paris","Stock, Delamain & Boutelleau","1935","","204 pages, 19 cm","","X.319/7029","","","French","",""
"Flush. French","Flush : biographie","009886692","Monograph","Language material ; Text","Volume","","","9782253038429","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Le livre de poche biblio","3069 [Le livre de poche biblio]","France","Paris","Stock","1979","","125 pages, 17 cm","","YA.2000.a.1113 ; YA.2003.a.2981","Human-animal relationships--England--Fiction ; Flush (Dog)--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Dogs--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","French","",""
"Flush. German","Flush : die Geschichte eines berühmten Hundes","004079189","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Herlitschka, Marlys, 1905-1975, translator [person] ; Woolf, Virginia, 1882-1941, author [person] ; Herlitschka, Herberth E., 1893-1970, translator [person]","Fischer Bücherei","volume 166 [Fischer Bücherei]","Germany","Frankfurt am Main ; Hamburg","Fischer Bücherei","1957","","153 pages, plates, 18 cm","","X.958/5021","","","German","Translation by Herberth und Marlys Herlitschka",""
"Flush. German","Flush : die Geschichte eines berühmten Hundes","012821868","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","Germany","Berlin","S. Fischer","1934","","","","F4/5134","","","German","",""
"Flush. Hungarian","Flush","008192712","Monograph","Language material ; Text","Volume","","","9789632082844","Woolf, Virginia","1882-1941","person","author","Rónay, György, translator [person] ; Woolf, Virginia, 1882-1941, author [person]","Útitárs","","Hungary","Budapest","Helikon","1993","","157 pages","","YA.1996.a.11839","Fiction in English--1900-1945--Translations","","Hungarian","",""
"Flush. Italian","Flush : vita di un cane [Traduzione dall'inglese di Alessandra Scalero]","004093265","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person] ; Scalero, Alessandra, translator [person]","Medusa","volume 41 [Medusa]","Italy","Milano","Mondadori","1934","","219 pages, plates, portraits, 20 cm","","X.958/19491","Fiction in English--1900-1945","","Italian","",""
"Flush. Portuguese","Flush : uma biografia","009886767","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","Fixões","17 [Fixões]","Portugal","Porto","Edições Afrontamento","1987","","121 pages, 21 cm","","YA.2000.a.821","Human-animal relationships--England--Fiction ; Flush (Dog)--Fiction ; Women poets, English--19th century--Fiction ; Women dog owners--England--Fiction ; Dogs--England--Fiction ; Browning, Elizabeth Barrett, 1806-1861--Fiction","Fiction","Portuguese","",""
"Flush. Russian","Flash : rasskazy, povestʹ","012558225","Monograph","Language material ; Text","Volume","","","","Woolf, Virginia","1882-1941","person","author","Genieva, E. [person] ; Woolf, Virginia, 1882-1941, author [person]","Biblioteka zhurnala 'Inostrannai︠a︡ literatura'","","Russia","Moskva","Izvestii︠a︡","1986","","221 pages","","YA.1987.a.4464","Fiction in English--1900-1945--Translations","","Russian","",""
"Flush: A Biography","","019628022","Monograph","Language material","","","","9781843681502","Woolf, Virginia","1882-1941","person","author","Lloyd, Katyuli, illustrator [person] ; Woolf, Virginia, 1882-1941, author [person]","","","England","London","Orca Book Services ; Pallas Athene","2019","Illustrated edition","142 pages, 26 black and white and colour illustrations, 24 x 17 cm","","","","","English","hardback",""
"Form as compensation for life : fictive patterns in Virginia Woolf's novels","","011152926","Monograph","Language material ; Text","Volume","","","9781571131478","Holmesland, Oddvar","","person","author","Holmesland, Oddvar, author [person]","Studies in English and American literature, linguistics, and culture","","United States of America","Columbia, South Carolina","Camden House","1998","","xii, 199 pages, 24 cm","823.912","98/17549 ; YA.2001.a.24431","Woolf, Virginia, 1882-1941--Technique ; Narration (Rhetoric) ; Literary form ; Fiction--Technique","","English","bibliography: p. 187-191. - Includes index",""
"Four hidden letters. French","Quatre lettres cachées : édition bilingue avec une postface de Joanne Trautmann Banks","009884858","Monograph","Language material ; Text","Volume","","","9782267012668","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person] ; Banks, Joanne Trautmann, 1941-2007 [person]","","","France","","Christian Bourgois","1995","","30 pages, 20 cm","","YA.1999.a.12589","Women authors, English--Correspondence ; Woolf, Virginia, 1882-1941--Correspondence","Correspondence","French","",""
"Framing pieces : designs of the gloss in Joyce, Woolf, and Pound","","012589917","Monograph","Language material ; Text","Volume","GB9826018","","9780195097481","Whittier-Ferguson, John","","person","author","Whittier-Ferguson, John, author [person]","","","England ; United States of America","New York","Oxford University Press","1996","","xv, 197 pages, illustrations, facsimiles, 25 cm","823.91209","99/38291 ; YC.1998.b.1591","Woolf, Virginia, 1882-1941--Criticism, Textual ; Joyce, James, 1882-1941--Technique ; Pound, Ezra, 1885-1972--Criticism, Textual ; Poetics ; English fiction--20th century--Criticism, Textual ; Woolf, Virginia, 1882-1941--Technique ; Fiction--Technique ; Modernism (Literature)--Great Britain ; Joyce, James, 1882-1941--Criticism, Textual ; Pound, Ezra, 1885-1972--Technique","","English","bibliography: p. 177-187. - Includes index",""
"Frauen und Literatur : essays","Women and writing. German","009884998","Monograph","Language material ; Text","Volume","","","9783100925718","Woolf, Virginia","1882-1941","person","author","Reichert, Klaus, editor [person] ; Woolf, Virginia, 1882-1941, author [person]","","","Germany","Frankfurt am Main","Fischer","1989","","238 pages, 21 cm","","YA.1999.a.12587","English fiction--Women authors--History and criticism","","German","",""
"French reception of Woolf : an état présent of études Woofiennes","'Country of the moon' and the woman of 'interior monologue' : Virginia Woolf in Greece ; 'Fastness of their own' : the Galician reception of Virginia Woolf ; 'Gaping mouth, but no words' : Virginia Woolf enters the land of butterflies ; 'Literature is no one's private ground' : the critical and political reception of Virginia Woolf in Sweden ; Emerging voice : a review of Spanish scholarship on Virginia Woolf ; European dimensions of the Hogarth Press ; From silence to a polyphony of voices : Virginia Woolf's reception in Poland ; German reception and criticism of Virginia Woolf : a survey of phases and trends in the twentieth century ; Installing modernism : the reception of Virginia Woolf in the German Democratic Republic ; Modernism, nationalism and feminism : representations of Virginia Woolf in Catalonia ; Portuguese reception of Virginia Woolf ; Reception of Virginia Woolf in Italy ; The reception of Virginia Woolf in Europe ; Timeline : European reception of Virginia Woolf ; Translating Virginia Woolf into French ; Virginia Woolf among writers and critics : the French intellectual scene ; Virginia Woolf and the search for symbolic mothers in modern Spanish fiction : the case of Tres mujeres ; Virginia Woolf's crossings ; Virginia Woolf, with a French twist ; Waves of influence : the Danish reception of Virginia Woolf","019391888","Monograph","Language material ; Text","Online resource","GBB988339","","9781847143051","","","","","Luckhurst, Nicola [person] ; Caws, Mary Ann [person]","The Athlone critical traditions series","volume 1 [The Athlone critical traditions series]","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (xxxvi, 450 pages)","823.912","ELD.DS.418780","Rezeption ; Woolf, Virginia, 1882-1941--Critique et interprétation--Histoire ; Roman anglais--Appréciation--Europe ; Art appreciation ; Woolf, Virginia, 1882-1941--Appreciation--Europe ; English fiction--Appreciation--Europe ; Woolf, Virginia, 1882-1941--Criticism and interpretation--History ; Woolf, Virginia, 1882-1941--Appréciation ; Literatuurreceptie","Criticsm and interpretation ; History","English","",""
"Freshwater : a comedy","","011981599","Monograph","Language material ; Text","Volume","GB7632640","","9780701204211","Woolf, Virginia","1882-1941","person","author","Ruotolo, Lucio P., editor [person] ; Braren, Loretta Trezzo, illustrator [person] ; Woolf, Virginia, 1882-1941, author [person]","","","England","London","Hogarth Press","1976","","xi, 76 pages, plates, illustrations, 1 facsimile, 1 portrait, 22 cm","822.912","X.989/50978","Actresses--Drama ; Cameron, Julia Margaret, 1815-1879--Drama ; Drama in English--1900-1945--Texts ; Women photographers--Drama ; Terry, Ellen, Dame, 1847-1928--Drama ; England--Drama","Comedy","English","",""
"Freshwater: a comedy, by Virginia Woolf","","010017766","Monograph","Language material ; Text","Volume","","","","","","","","","","","United States of America","Dallas ; Fort Worth","","1986","","14 pages, illustrations","","YA.1989.a.7582","Woolf, Virginia, 1882-1941","","English","A programme",""
"Friends and Lovers","Allusion and Metaphor ; Biography and Autobiography ; Biopower ; Character, Form, and Fiction ; Consumer Culture ; Creative Non-fiction and Poetry ; Disability, Pain, and Illness ; Early novels and stories (1915-1923) ; Family and Place ; Feminist Theory ; Handbook of Virginia Woolf ; Impressionism and Post-Impressionism ; Introduction ; Late works (1933-1941) ; Literary London ; Magic Realism and Experimental Fiction ; Mature works, I (1924-1927) ; Mature works, II (1928-1932) ; Modern Woolfian Fiction ; Narrative Ethics ; Narrative Futures of the Feminist Novel ; Oceans and Empire ; Private writings ; Queer Theory ; Stream of Consciousness ; The Academy and Publishing ; The Essays ; The Hogarth Press ; The Lyrical Mode of Translating ; The Natural world and the Anthopocene ; The Oxford handbook of Virginia Woolf ; Time ; Traditions and Transformations ; Virginia Woolf ; Virginia Woolf, Filmmaker ; War and Peace ; Woolf and Education ; Woolf and Suffrage ; Woolf as Reviewer-Critic ; Woolf's Feminism ; Woolfian Afterlives ; Work","020291232","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBC1D2898","","9780191925320 ; 9780198811589","","","","","Fernald, Anne E., editor [person]","Oxford handbooks online","","England","Oxford","Oxford University Press","2021","","1 online resource, illustrations (black and white and colour)","823.912","","Woolf, Virginia, 1882-1941--Criticism and interpretation","","English","Additional physical form: Print version. 9780198811589 ; Also issued in print: 2021",""
"From Mrs. Dalloway to The waves : new elegy and lyric experimentalism","Bloomsbury ; The Cambridge companion to Virginia Woolf ; The novels of the 1930s and the impact of history ; The socio-political vision of the novels ; Virginia Woolf and sexuality ; Virginia Woolf and the public sphere ; Virginia Woolf and visual culture ; Virginia Woolf's early novels : finding a voice ; Virginia Woolf's essays ; Virginia Woolf, empire and race ; Virginia Woolf, modernism and modernity ; Woolf's feminism and feminism's Woolf","015433107","Monograph","Language material ; Text","Volume","GBA9B5875","","9780521721677 ; 9780521896948","","","","","Sellers, Susan, editor [person]","Cambridge companions to literature","","England","Cambridge","Cambridge University Press","2010","2nd edition","xxi, 272 pages, 24 cm","823.912","YC.2010.a.5104","Woolf, Virginia, 1882-1941--Criticism and interpretation","","English","",""
"From silence to a polyphony of voices : Virginia Woolf's reception in Poland","'Country of the moon' and the woman of 'interior monologue' : Virginia Woolf in Greece ; 'Fastness of their own' : the Galician reception of Virginia Woolf ; 'Gaping mouth, but no words' : Virginia Woolf enters the land of butterflies ; 'Literature is no one's private ground' : the critical and political reception of Virginia Woolf in Sweden ; Emerging voice : a review of Spanish scholarship on Virginia Woolf ; European dimensions of the Hogarth Press ; French reception of Woolf : an état présent of études Woofiennes ; German reception and criticism of Virginia Woolf : a survey of phases and trends in the twentieth century ; Installing modernism : the reception of Virginia Woolf in the German Democratic Republic ; Modernism, nationalism and feminism : representations of Virginia Woolf in Catalonia ; Portuguese reception of Virginia Woolf ; Reception of Virginia Woolf in Italy ; The reception of Virginia Woolf in Europe ; Timeline : European reception of Virginia Woolf ; Translating Virginia Woolf into French ; Virginia Woolf among writers and critics : the French intellectual scene ; Virginia Woolf and the search for symbolic mothers in modern Spanish fiction : the case of Tres mujeres ; Virginia Woolf's crossings ; Virginia Woolf, with a French twist ; Waves of influence : the Danish reception of Virginia Woolf","019391888","Monograph","Language material ; Text","Online resource","GBB988339","","9781847143051","","","","","Luckhurst, Nicola [person] ; Caws, Mary Ann [person]","The Athlone critical traditions series","volume 1 [The Athlone critical traditions series]","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (xxxvi, 450 pages)","823.912","ELD.DS.418780","Rezeption ; Woolf, Virginia, 1882-1941--Critique et interprétation--Histoire ; Roman anglais--Appréciation--Europe ; Art appreciation ; Woolf, Virginia, 1882-1941--Appreciation--Europe ; English fiction--Appreciation--Europe ; Woolf, Virginia, 1882-1941--Criticism and interpretation--History ; Woolf, Virginia, 1882-1941--Appréciation ; Literatuurreceptie","Criticsm and interpretation ; History","English","",""
"From text to tableau : ekphrastic enchantment in Mrs. Dalloway and To the lighthouse","'A direction of one's own' : alienation in Mrs. Dalloway and Sula ; 'All taken together' : ecological form in Mrs. Dalloway ; 'The sane & the insane, side by side' : the object-relations of self-management in Mrs. Dalloway ; A dialogue in books : Virginia Woolf's Mrs. Dalloway and Michael Cunningham's The hours ; A-linear time and stream of consciousness ; Biography of Virginia Woolf ; Mrs. Dalloway : a study in composition ; Mrs. Dalloway : portrait of the artist as a middle-aged woman ; Mrs. Dalloway and the critics ; Mrs. Dalloway, by Virginia Woolf ; Mrs. Dalloway, the dictator, and the relativity paradox ; On Mrs. Dalloway ; Reinventing grief work : Virginia Woolf's feminist representations of mourning in Mrs. Dalloway and To the lighthouse ; The 'death of the soul' in Mrs. Dalloway ; The Paris review perspective ; The pseudo-homeric world of Mrs. Dalloway ; Virginia Woolf's Mrs. Dalloway : 'a well of tears'","016008428","Monograph","Language material ; Text","Volume","","","9781587658419","","","","","Robbins, Dorothy Dodge, editor [person]","Critical insights","","United States of America","Pasadena, California","Salem","2012","","xiii, 359 pages, 24 cm","823.912","YD.2012.a.2242","Psychological fiction, English--History and criticism ; Woolf, Virginia, 1882-1941 ; Married women in literature ; Stream of consciousness fiction, English--History and criticism","Aufsatzsammlung","English","",""
"From the lighthouse to Monk's House : a guide to Virginia Woolf's literary landscapes","","015288971","Monograph","Language material ; Text","Volume","GBA958271","","9780715629956","Hill-Miller, Katherine","","person","author","Hill-Miller, Katherine, author [person]","","","England","London","Duckworth","2001","","viii, 328 pages, 24 cm","823","YD.2009.a.4136","Literary landmarks--England--Guidebooks ; Woolf, Virginia, 1882-1941--Homes and haunts--England ; Woolf, Virginia, 1882-1941--Settings ; Cities and towns in literature","Guidebook","English","Includes information for the traveler",""
"Frontmatter --","1/ An Overview of Motherhood -- ; 2. Disentangling Notions -- ; 3. A Mother's Vision and Love in D.H. Lawrence's Sons and Lovers -- ; 4. Mothers and Social Criticism in James Joyce's Dubliners -- ; 5. A Mother's 'Divided Self' in Virginia Woolf's To the Lighthouse -- ; 6. 'I'm a Cérébrale': A Mother's Isolation and Marginalization in Jean Rhys' Good Morning, Midnight -- ; 7. From Modernism to Contemporary Literature: A Timeless Debate -- ; Acknowledgments -- ; Contents -- ; Narcissistic Mothers in Modernist Literature : New Perspectives on Motherhood in the Works of D.H. Lawrence, James Joyce, Virginia Woolf, and Jean Rhys ; Works Cited","019567187","Monograph","Language material ; Text","Online resource","GBC066061","","9783839449660","Rademacher, Marie Géraldine","","person","author","Rademacher, Marie Géraldine, author [person]","Lettre","","Germany","Bielefeld","Transcript-Verlag","2019","","1 online resource","809.933520431","ELD.DS.462122","Joyce, James, 1882-1941 ; Motherhood in literature ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Joyce, James, 1882-1941--Criticism and interpretation ; Woolf, Virginia, 1882-1941 ; Lawrence, D. H. (David Herbert), 1885-1930 ; Narcissism in literature ; Lawrence, D. H. (David Herbert), 1885-1930--Criticism and interpretation ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Rhys, Jean--Criticism and interpretation","Criticsm and interpretation","English","",""
"Gardens in the work of Virginia Woolf : with 8 illustrations","","015620916","Monograph","Language material ; Text","Volume","GBB093992","","9781897967980","Hancock, Nuala","","person","author","Hancock, Nuala, author [person]","Bloomsbury heritage","","England","London","Cecil Woolf","2005","","32 pages, illustrations, map, 22 cm","823.912","YK.2010.a.22292","Gardens in literature ; Woolf, Virginia, 1882-1941--Themes, motives","","English","",""
"Genius and ink : Virginia Woolf on how to read","","019529568","Monograph","Language material ; Text","Volume","GBB9E9501","","9780008355722","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","","2019","","1 volume, 21 cm","824.912","","","","English","Additional physical form: ebook version. 9780008355739",""
"Genius and ink : Virginia Woolf on how to read","","019533387","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB9F3317","","9780008355739","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","","2019","","1 online resource","824.912","ELD.DS.469616","BIOGRAPHY & AUTOBIOGRAPHY / Editors, Journalists, Publishers ; LITERARY COLLECTIONS / Essays ; Literature and literary studies / Prose: non-fiction / Literary essays ; LITERARY CRITICISM / Feminist","","English","Additional physical form: Print version. 9780008355722",""
"Genius and ink : Virginia Woolf on how to read","Works. Selections","019927158","Monograph","Language material ; Text","Volume","GBC0D2902","","9780008361884","Woolf, Virginia","1882-1941","person","author","Woolf, Virginia, 1882-1941, author [person]","","","England","London","","2020","","1 volume, 18 cm","824.912","","Reading ; Literature--History and criticism","","English","Originally published: 2019",""
